id,era,typology,total_floor_area_m2,is_high_potential,grid_id,annual_energy_kwh,annual_heating_kwh,annual_cooling_kwh,annual_other_kwh
2892180,era2,lowrise,5174.86,1,796,1094119.98,315459.27,187122.82,591486.14
4196633,era1,lowrise,9558.98,1,837,2496900.61,952169.79,424992.16,1119643.08
4222251,era1,lowrise,4115.39,1,794,1074981.06,409934.01,182970.25,482035.65
4767675,era1,lowrise,21381.12,1,796,5584962.90,2129773.57,950604.69,2504370.83
4767677,era1,lowrise,21381.12,1,796,5584962.90,2129773.57,950604.69,2504370.83
4767679,era1,lowrise,14424.94,1,796,3767937.49,1436867.86,641332.65,1689592.74
4767681,era2,lowrise,11570.79,1,796,2446411.79,705355.26,418399.71,1322541.11
4767683,era2,lowrise,4225.09,1,797,893311.70,257561.75,152779.41,482928.29
4767685,era1,lowrise,9806.70,1,838,2561608.83,976845.66,436006.01,1148659.10
4767687,era1,lowrise,5169.52,1,837,1350331.11,514936.19,229836.99,605506.23
4768043,era2,lowrise,3972.96,1,837,840003.20,242191.72,143662.28,454109.47
4768044,era1,lowrise,10520.23,1,837,2747988.46,1047919.80,467729.29,1232234.17
4768310,era1,lowrise,1704.43,1,796,445214.16,169778.27,75778.96,199639.89
4768311,era2,lowrise,10360.72,1,796,2190567.44,631589.61,374643.70,1184230.52
4770434,era2,lowrise,4928.53,1,797,1042038.98,300443.16,178215.62,563330.92
6036156,era2,lowrise,10954.67,1,630,2316144.90,667796.40,396120.70,1252118.25
7082008,era1,lowrise,11181.09,1,1126,2920611.30,1113747.91,497111.05,1309640.52
7096204,era1,lowrise,23323.84,1,1085,6092419.45,2323287.40,1036977.79,2731921.02
7100236,era2,lowrise,36660.24,1,1496,7751073.92,2234808.05,1325634.17,4190265.10
7109337,era3,lowrise,14859.24,1,1169,2234978.08,223780.13,310558.09,1700639.86
7885182,era1,lowrise,2550.56,0,1083,666231.50,254061.18,113397.85,298746.97
7900899,era1,lowrise,6550.67,1,1332,1711100.83,652512.36,291242.84,767280.12
9054035,era2,midrise,4128.23,1,1245,872831.64,251656.89,149276.79,471856.68
9080575,era1,lowrise,111469.23,1,1124,29116878.76,11103450.45,4955922.17,13056391.44
9637673,era1,lowrise,9811.95,1,1083,2562979.69,977368.43,436239.34,1149273.81
10452558,era2,lowrise,2623.34,0,557,554653.33,159918.97,94860.07,299848.06
11497715,era2,lowrise,247.01,0,750,52225.31,15057.73,8931.88,28233.24
11497716,era3,midrise,5804.37,1,750,873034.98,87413.78,121311.29,664309.91
11502229,era3,midrise,1573.19,0,1615,236623.45,23692.24,32879.66,180051.55
11502231,era3,midrise,866.28,0,1615,130297.04,13046.16,18105.23,99145.64
11502233,era3,midrise,7426.25,1,1574,1116982.91,111839.39,155208.71,849934.80
12955761,era2,highrise,888915.14,1,1132,187943327.17,54188266.68,32143171.31,101603000.03
13052205,era2,midrise,6023.65,1,710,1273581.11,367201.93,217815.32,688503.62
13052255,era3,midrise,6120.27,1,750,920549.63,92171.25,127913.62,700464.76
14336137,era2,lowrise,17098.60,1,1519,3615156.80,1042330.60,618285.34,1954369.87
16768783,era2,lowrise,1659.08,0,851,350780.32,101137.82,59992.51,189633.41
17166089,era2,lowrise,2477.60,0,1256,523838.56,151034.38,89589.95,283189.46
17631388,era2,lowrise,6504.04,1,1449,1375149.17,396486.28,235186.09,743411.77
17880215,era3,lowrise,59560.35,1,709,8958472.24,896978.87,1244811.31,6816682.06
18621018,era2,lowrise,6456.13,1,840,1365019.01,393565.52,233453.57,737935.36
18621021,era1,lowrise,32776.45,1,839,8561535.64,3264861.85,1457240.82,3839105.20
18667622,era1,lowrise,32538.02,1,1001,8499256.44,3241112.26,1446640.41,3811178.39
19848333,era2,lowrise,6938.54,1,1198,1467015.81,422973.48,250897.66,793075.28
19960210,era2,lowrise,2199.51,0,1157,465041.66,134081.92,79534.15,251403.59
52072595,era1,highrise,114966.06,1,1046,30030285.57,11451769.63,5111391.20,13465975.07
54827271,era2,lowrise,13892.31,1,797,2937250.48,846875.04,502345.82,1587890.70
54827275,era1,lowrise,3141.18,1,797,820508.16,312893.14,139656.95,367926.65
59097016,era2,lowrise,10248.27,1,475,2166791.99,624734.62,370577.49,1171377.40
59097032,era2,lowrise,3658.86,1,516,773593.62,223044.35,132304.52,418208.16
59097041,era2,lowrise,182.85,0,516,38659.06,11146.27,6611.70,20899.26
87058059,era1,highrise,12506.05,1,1046,3266705.43,1245727.68,556019.00,1464833.68
87058202,era1,lowrise,8175.69,1,1250,2135571.13,814380.16,363491.03,957618.19
103279575,era1,lowrise,22966.92,1,882,5999188.01,2287734.46,1021109.07,2690114.82
103279625,era2,lowrise,8417.84,1,1115,1779784.84,513151.80,304389.25,962159.62
103279694,era3,midrise,2398.79,0,1115,360802.48,36125.83,50134.78,274541.88
103279719,era3,midrise,3389.21,1,1115,509770.53,51041.45,70834.41,387894.67
103279789,era3,lowrise,46478.44,1,1355,6990822.38,699965.33,971399.43,5319457.63
103279888,era3,midrise,3040.28,1,1115,457287.77,45786.54,63541.75,347959.48
103279914,era2,lowrise,14280.44,1,1156,3019313.70,870535.70,516380.76,1632254.44
103279941,era1,lowrise,17328.71,1,1156,4526431.17,1726112.36,770434.25,2029711.28
155469202,era2,lowrise,3350.12,1,710,708315.14,204223.10,121140.21,382918.32
166794418,era1,lowrise,8292.07,1,1301,2165972.73,825973.52,368665.62,971250.66
185870065,era3,lowrise,8022.54,1,1109,1206669.99,120819.43,167671.05,918179.51
185870068,era3,lowrise,14664.74,1,1109,2205723.16,220850.95,306493.01,1678379.20
185870084,era3,lowrise,2517.09,0,1109,378595.54,37907.38,52607.19,288080.98
185870093,era3,lowrise,2137.58,0,1109,321513.09,32191.92,44675.38,244645.79
185873477,era3,lowrise,2881.89,1,1109,433465.08,43401.26,60231.50,329832.31
185873497,era2,lowrise,8145.02,1,1109,1722100.62,496520.14,294523.76,930975.27
185873500,era3,lowrise,7917.89,1,1109,1190929.85,119243.42,165483.90,906202.52
185873503,era2,lowrise,8120.50,1,1109,1716918.13,495025.92,293637.42,928173.59
186039486,era2,lowrise,4370.81,1,1069,924120.78,266444.70,158048.56,499583.81
186039492,era3,lowrise,3231.89,1,1110,486107.99,48672.20,67546.42,369889.36
186039494,era3,lowrise,37291.45,1,1110,5609006.74,561609.21,779391.27,4268006.26
186039504,era3,lowrise,4351.57,1,1110,654520.04,65534.68,90947.87,498037.49
186039509,era3,lowrise,3847.63,1,1069,578722.08,57945.31,80415.47,440361.30
186039512,era3,lowrise,3918.52,1,1110,589384.21,59012.87,81897.01,448474.32
186039513,era3,lowrise,3449.76,1,1110,518878.86,51953.43,72100.05,394825.38
186039519,era3,lowrise,3523.78,1,1110,530011.48,53068.10,73646.97,403296.42
186039526,era2,lowrise,3941.41,1,1110,833331.41,240268.09,142521.23,450502.67
186039534,era3,lowrise,3999.00,1,1069,601488.88,60224.87,83579.00,457685.01
186178539,era2,lowrise,31560.32,1,1329,6672798.03,1923916.98,1141221.10,3607344.35
186395622,era2,lowrise,29091.46,1,1601,6150807.41,1773415.41,1051947.20,3325153.89
186395663,era2,lowrise,41297.58,1,1601,8731548.18,2517500.72,1493320.64,4720313.85
218409921,era2,lowrise,4579.53,1,1316,968249.83,279168.09,165595.77,523440.17
218410248,era1,lowrise,2934.96,1,1315,766642.07,292351.81,130488.52,343772.39
218454589,era2,lowrise,6742.16,1,671,1425494.14,411001.86,243796.38,770628.48
218553870,era2,midrise,1550.39,1,1275,327799.18,94511.84,56062.14,177209.69
218553992,era2,midrise,1109.41,0,1275,234561.92,67629.45,40116.16,126805.22
218553998,era1,lowrise,26.59,0,1316,6945.58,2648.63,1182.19,3114.49
218559657,era1,lowrise,1168.38,0,1275,305192.44,116382.29,51946.16,136852.30
218559658,era2,midrise,1224.54,0,1275,258904.75,74648.03,44279.41,139965.06
218559659,era1,lowrise,6547.72,1,1275,1710328.99,652218.03,291111.47,766934.02
218559660,era2,lowrise,3058.91,1,1275,646746.01,186471.35,110610.30,349633.77
218559661,era2,lowrise,3504.79,1,1275,741017.54,213651.94,126733.17,400597.39
218559662,era2,lowrise,7442.96,1,1275,1573665.34,453722.93,269137.49,850730.50
