grid_id,building_count,dominant_era,district,R5_savings_GWh,annual_pv_GWh,co2_avoided_kt,rank_integrated,centroid_lon,centroid_lat,baseline_carbon_kt
933,19,era2,Kaifu,26.1421,7.2014,19.0158,1,112.9552,28.2432,inf
316,30,era3,Yuelu,15.9516,8.5395,13.9673,2,112.8786,28.2353,inf
1315,3,era1,Tianxin,14.7508,12.8239,15.7258,3,113.0038,28.1162,inf
353,3,era3,Yuelu,8.1981,10.7404,10.8006,4,112.8834,28.2171,inf
354,10,era3,Yuelu,8.7745,14.4873,13.2662,5,112.8835,28.2217,inf
275,31,era3,Yuelu,9.5356,8.095,10.0547,5,112.8735,28.2353,inf
357,16,era3,Yuelu,9.6739,6.371,9.1504,7,112.8837,28.2352,inf
883,26,era1,Yuelu,42.4726,4.5467,26.8151,8,112.9494,28.2027,inf
929,30,era1,Yuelu,65.4963,3.9049,39.5795,9,112.9549,28.2252,inf
1004,15,era1,Tianxin,134.419,7.7139,81.0584,10,112.9645,28.1934,inf
315,57,era3,Yuelu,9.4184,10.7249,11.4877,11,112.8785,28.2307,inf
790,13,era2,Yuelu,15.2724,9.5596,14.1617,12,112.9383,28.1532,inf
274,30,era3,Yuelu,8.4501,5.2913,7.8367,13,112.8734,28.2308,inf
832,24,era2,Tianxin,14.5,7.14,12.3413,14,112.9434,28.1576,inf
833,45,era2,Tianxin,20.131,8.3013,16.2149,15,112.9435,28.1622,inf
1164,12,era1,Furong,27.7256,1.9465,16.922,16,112.9845,28.1751,inf
317,39,era3,Yuelu,9.3612,2.8063,6.9391,17,112.8787,28.2398,inf
972,19,era3,Kaifu,13.4789,4.7057,10.3707,18,112.9601,28.2341,inf
1132,12,era1,Furong,75.895,7.0626,47.3107,19,112.9802,28.2158,inf
355,11,era3,Yuelu,6.778,10.8651,10.0619,20,112.8836,28.2262,inf
889,24,era2,Yuelu,58.6261,4.1749,35.8154,21,112.9498,28.2297,inf
1124,5,era2,Furong,16.0942,5.3249,12.2153,22,112.9795,28.1797,inf
352,25,era3,Yuelu,7.5342,8.0842,8.9072,23,112.8833,28.2126,inf
807,17,era3,Yuelu,9.1642,5.3101,8.2547,24,112.9397,28.2299,inf
1223,18,era3,Kaifu,6.6572,7.889,8.2957,25,112.9911,28.2562,inf
722,50,era2,Yuelu,24.3761,4.2181,16.3073,26,112.9292,28.2165,inf
750,51,era2,Yuelu,14.8939,10.2983,14.3671,27,112.9333,28.1578,inf
396,15,era3,Yuelu,7.7691,7.8851,8.9276,28,112.8886,28.2261,inf
392,28,era3,Yuelu,9.6185,7.9534,10.0213,29,112.8883,28.208,inf
228,9,era3,Yuelu,4.8192,7.706,7.1431,30,112.868,28.2083,inf
1171,34,era1,Furong,21.8361,4.1646,14.8282,31,112.9851,28.2067,inf
1156,31,era2,Tianxin,14.6023,6.0429,11.7739,32,112.9838,28.139,inf
434,34,era2,Yuelu,10.1079,7.4605,10.0193,33,112.8935,28.2125,inf
560,42,era2,Yuelu,11.2492,7.2284,10.5378,34,112.909,28.2258,inf
1204,49,era1,Furong,30.8911,5.3145,20.6481,35,112.9895,28.1705,inf
1410,61,era2,Furong,30.2689,7.3557,21.4573,36,113.015,28.1747,inf
839,28,era2,Tianxin,21.9533,8.1657,17.1769,37,112.944,28.1892,inf
1087,39,era1,Furong,172.9227,10.2387,104.4569,38,112.9747,28.1978,inf
1601,4,era2,Yuhua,7.7722,5.1604,7.3755,39,113.0393,28.1111,inf
797,22,era2,Yuelu,11.9027,5.2495,9.7819,40,112.9388,28.1848,inf
710,42,era2,Yuelu,15.2578,6.7682,12.5614,41,112.9283,28.1624,inf
312,3,era3,Yuelu,4.1065,6.6917,6.1582,42,112.8783,28.2172,inf
310,13,era3,Yuelu,5.5175,8.3944,7.934,43,112.8781,28.2082,inf
1113,18,era2,Tianxin,8.7875,4.8949,7.8031,44,112.9786,28.1301,inf
1050,27,era1,Yuelu,23.5535,3.3568,15.3469,45,112.97,28.2159,inf
671,48,era2,Yuelu,14.1888,6.4349,11.7617,46,112.9233,28.1715,inf
478,23,era2,Yuelu,9.4676,6.4142,9.0574,47,112.8988,28.2259,inf
548,21,era2,Yuelu,9.5412,5.0451,8.3186,48,112.9081,28.1717,inf
884,81,era1,Yuelu,39.6266,4.5352,25.1855,49,112.9494,28.2072,inf
1046,32,era1,Tianxin,38.9739,2.2473,23.5085,50,112.9696,28.1979,inf
1274,6,era3,Tianxin,4.8609,5.8676,6.1185,51,112.9987,28.1162,inf
1276,3,era2,Tianxin,7.1996,3.6514,6.1883,52,112.9988,28.1253,inf
558,54,era2,Yuelu,22.0165,9.2205,17.8144,53,112.9089,28.2168,inf
1320,24,era2,Tianxin,11.3396,2.8256,8.0784,54,113.0042,28.1387,inf
559,63,era2,Yuelu,35.5612,7.0295,24.2895,55,112.9089,28.2213,inf
1530,12,era2,Yuhua,15.7441,7.9103,13.4901,56,113.0301,28.1609,inf
1324,33,era2,Tianxin,16.5663,6.0878,12.9196,57,113.0045,28.1568,inf
1097,6,era1,Furong,21.0569,3.0321,13.738,58,112.9756,28.2429,inf
436,13,era2,Yuelu,9.6271,5.3583,8.5461,59,112.8937,28.2215,inf
437,35,era2,Yuelu,13.0784,7.2683,11.6037,59,112.8937,28.226,inf
311,22,era3,Yuelu,4.9563,5.5646,6.0001,61,112.8782,28.2127,inf
808,12,era2,Yuelu,6.7477,3.3645,5.767,62,112.9397,28.2344,inf
157,1,era3,Yuelu,3.1043,5.1254,4.6934,63,112.8586,28.2581,inf
1157,23,era2,Tianxin,10.4338,3.041,7.6847,64,112.9839,28.1435,inf
