id,building,building_category,footprint_area_m2,floor_count_est,floor_area_m2,height_proxy_m,height_proxy_source,solar_potential_score,solar_potential_class,is_high_potential,ghs_age_epoch,ghs_age_epoch_label,ghsl_height_m,era,typology,era_source,grid_id
2892180,university,commercial,1293.714207190899,4,5174.856828763596,10.5,building_type_default,53.596329182685054,high,1,1.0,pre-1980,9.399398803710938,era1,midrise,ghs_age,796
4196633,university,commercial,2389.744466398402,4,9558.977865593608,10.5,building_type_default,57.474312289410165,high,1,1.0,pre-1980,11.3164701461792,era1,midrise,ghs_age,837
4222251,dormitory,residential,1371.7967165451732,3,4115.390149635519,9.0,building_type_default,48.02628178843698,high,1,1.0,pre-1980,16.95511817932129,era1,midrise,ghs_age,794
4767675,university,commercial,5345.280522076875,4,21381.1220883075,10.5,building_type_default,62.56303056922988,high,1,1.0,pre-1980,16.741243362426758,era1,midrise,ghs_age,796
4767677,university,commercial,5345.280522076875,4,21381.1220883075,10.5,building_type_default,62.56303056922988,high,1,1.0,pre-1980,16.741243362426758,era1,midrise,ghs_age,796
4767679,university,commercial,3606.2339613608738,4,14424.935845443495,10.5,building_type_default,60.07518828901619,high,1,1.0,pre-1980,17.3680362701416,era1,midrise,ghs_age,796
4767681,university,commercial,2892.697098692687,4,11570.788394770749,10.5,building_type_default,58.68156157408233,high,1,1.0,pre-1980,14.817132949829102,era1,midrise,ghs_age,796
4767683,dormitory,residential,1408.3647859016785,3,4225.094357705036,9.0,building_type_default,48.17739570607776,high,1,1.0,pre-1980,13.026116371154785,era1,midrise,ghs_age,797
4767685,university,commercial,2451.675694710706,4,9806.702778842824,10.5,building_type_default,57.6360210925185,high,1,2.0,1980-1989,6.895407676696777,era1,midrise,ghs_age,838
4767687,dormitory,residential,1723.1743453678903,3,5169.523036103671,9.0,building_type_default,49.33628008059914,high,1,1.0,pre-1980,11.3164701461792,era1,midrise,ghs_age,837
4768043,dormitory,residential,1324.3204231482853,3,3972.961269444856,9.0,building_type_default,47.82397027861314,high,1,2.0,1980-1989,6.217360496520996,era1,midrise,ghs_age,837
4768044,university,commercial,2630.0567162418556,4,10520.226864967422,10.5,building_type_default,58.07993294256137,high,1,1.0,pre-1980,9.575982093811035,era1,midrise,ghs_age,837
4768310,university,commercial,1704.4300160874584,2,3408.860032174917,3.5,building_levels,47.700757437180776,high,1,1.0,pre-1980,13.668288230895996,era1,midrise,ghs_age,796
4768311,university,commercial,2590.18048237069,4,10360.72192948276,10.5,building_type_default,57.98336823601654,high,1,1.0,pre-1980,10.807705879211426,era1,midrise,ghs_age,796
4770434,university,commercial,1232.132362760468,4,4928.529451041872,10.5,building_type_default,53.28819465734528,high,1,3.0,1990-1999,9.570693016052246,era1,midrise,ghs_age,797
6036156,office,commercial,2738.6663429742894,4,10954.665371897157,10.5,building_type_default,58.335701537900455,high,1,1.0,pre-1980,15.122490882873535,era1,midrise,ghs_age,630
7082008,museum,mixed_unknown,3727.0284412383994,4,14908.113764953598,10.0,fallback_default,51.75048061247088,high,1,1.0,pre-1980,19.33778190612793,era1,midrise,ghs_age,1126
7096204,commercial,commercial,5830.959233958579,4,23323.836935834315,10.5,building_type_default,63.11282659888815,high,1,1.0,pre-1980,20.64472007751465,era1,midrise,ghs_age,1085
7100236,yes,residential,12220.07901836072,3,36660.237055082165,9.0,building_type_default,60.593580540447626,high,1,1.0,pre-1980,18.067636489868164,era1,midrise,ghs_age,1496
7109337,yes,residential,4953.079535008355,3,14859.238605025066,9.0,building_type_default,55.403263573688776,high,1,2.0,1980-1989,21.674036026000977,era1,midrise,ghs_age,1169
7885182,yes,residential,850.1863176080565,3,2550.5589528241694,9.0,building_type_default,45.27880329183567,medium,0,1.0,pre-1980,18.850093841552734,era1,midrise,ghs_age,1083
7900899,yes,residential,2183.5570764370746,3,6550.671229311223,9.0,building_type_default,50.69667009069987,high,1,1.0,pre-1980,13.4149808883667,era1,midrise,ghs_age,1332
9054035,yes,residential,1376.0766279176023,3,4128.229883752807,9.0,building_type_default,48.044174748547334,high,1,1.0,pre-1980,25.92184829711914,era1,midrise,ghs_age,1245
9080575,stadium,mixed_unknown,37156.41151886831,4,148625.64607547325,10.0,fallback_default,64.30632527077074,high,1,1.0,pre-1980,25.250383377075195,era1,midrise,ghs_age,1124
9637673,hospital,commercial,2452.9877222956216,4,9811.950889182486,10.5,building_type_default,57.639402590654655,high,1,1.0,pre-1980,17.356464385986328,era1,midrise,ghs_age,1083
10452558,residential,residential,874.4475465939585,3,2623.3426397818753,9.0,building_type_default,45.440351031224566,medium,0,1.0,pre-1980,13.161541938781738,era1,midrise,ghs_age,557
11497715,apartments,residential,123.50497441503586,2,247.00994883007172,6.0,building_levels,31.589707896519766,low,0,3.0,1990-1999,10.613934516906738,era1,midrise,ghs_age,750
11497716,apartments,residential,829.195418711584,7,5804.367930981088,21.0,building_levels,50.97001911791963,high,1,3.0,1990-1999,10.613934516906738,era1,highrise,ghs_age,750
11502229,apartments,residential,524.3965383729501,3,1573.1896151188503,9.0,building_type_default,42.5054381158278,medium,0,3.0,1990-1999,19.328866958618164,era1,midrise,ghs_age,1615
11502231,apartments,residential,288.75970568997496,3,866.279117069925,9.0,building_type_default,39.08469336427408,low,0,3.0,1990-1999,22.76820182800293,era1,midrise,ghs_age,1615
11502233,apartments,residential,2475.418094039129,3,7426.2542821173865,9.0,building_type_default,51.41749146043776,high,1,3.0,1990-1999,24.977073669433594,era1,midrise,ghs_age,1574
12955761,hospital,commercial,13267.390087033264,67,888915.1358312287,200.0,raw_height,91.59936996767078,high,1,1.0,pre-1980,21.892866134643555,era1,highrise,ghs_age,1132
13052205,apartments,residential,860.5219603035313,7,6023.653722124719,21.0,building_levels,51.18292813113947,high,1,1.0,pre-1980,14.032548904418945,era1,highrise,ghs_age,710
13052255,apartments,residential,874.3241107893313,7,6120.268775525319,21.0,building_levels,51.27428776034429,high,1,3.0,1990-1999,10.613934516906738,era1,highrise,ghs_age,750
14336137,greenhouse,mixed_unknown,5699.53302450123,4,22798.13209800492,10.0,fallback_default,54.06955851672286,high,1,4.0,2000-2009,6.477326393127441,era2,midrise,ghs_age,1519
16768783,apartments,residential,553.0283060048198,3,1659.0849180144594,9.0,building_type_default,42.810450444375384,medium,0,2.0,1980-1989,11.131914138793945,era1,midrise,ghs_age,851
17166089,yes,residential,825.8660301158538,3,2477.5980903475615,9.0,building_type_default,45.1121732247769,medium,0,2.0,1980-1989,14.56039047241211,era1,midrise,ghs_age,1256
17631388,yes,residential,2168.0133247821605,3,6504.039974346481,9.0,building_type_default,50.6556239923946,high,1,1.0,pre-1980,9.84206771850586,era1,midrise,ghs_age,1449
17880215,yes,residential,19853.44999850618,3,59560.34999551854,9.0,building_type_default,63.382972531531344,high,1,4.0,2000-2009,21.861560821533203,era2,midrise,ghs_age,709
18621018,yes,residential,2152.042454947627,3,6456.127364842881,9.0,building_type_default,50.613142483126396,high,1,3.0,1990-1999,16.051925659179688,era1,midrise,ghs_age,840
18621021,yes,residential,8194.111672094055,4,32776.44668837622,12.0,building_levels,60.23802038138724,high,1,1.0,pre-1980,21.032604217529297,era1,midrise,ghs_age,839
18667622,yes,residential,10846.006968800217,3,32538.02090640065,9.0,building_type_default,59.907978448489885,high,1,1.0,pre-1980,24.043123245239258,era1,midrise,ghs_age,1001
19848333,yes,residential,2312.847136783123,3,6938.5414103493695,9.0,building_type_default,51.027181188853234,high,1,1.0,pre-1980,13.908903121948242,era1,midrise,ghs_age,1198
19960210,yes,residential,733.1688315268997,3,2199.506494580699,9.0,building_type_default,44.42869447132487,medium,0,1.0,pre-1980,15.888426780700684,era1,midrise,ghs_age,1157
52072595,commercial,commercial,8843.543383463053,14,123809.60736848274,40.0,raw_height,76.09408141920204,high,1,1.0,pre-1980,33.42644500732422,era1,highrise,ghs_age,1046
54827271,university,commercial,3473.076768470911,4,13892.307073883643,10.5,building_type_default,59.83736486991605,high,1,1.0,pre-1980,7.5042829513549805,era1,midrise,ghs_age,797
54827275,yes,residential,3141.182035563624,1,3141.182035563624,3.0,building_levels,46.005415206005914,high,1,1.0,pre-1980,13.569499015808105,era1,midrise,ghs_age,797
59097016,yes,residential,3416.0904198391527,3,10248.271259517458,9.0,building_type_default,53.26826627496819,high,1,3.0,1990-1999,14.0498628616333,era1,midrise,ghs_age,475
59097032,yes,residential,1219.6213461148575,3,3658.8640383445727,9.0,building_type_default,47.35092888240346,high,1,3.0,1990-1999,15.675453186035156,era1,midrise,ghs_age,516
59097041,yes,residential,60.94855552800452,3,182.84566658401354,9.0,building_type_default,30.216714141735768,low,0,3.0,1990-1999,14.621506690979004,era1,midrise,ghs_age,516
87058059,commercial,commercial,3126.5126029273792,4,12506.050411709517,10.5,building_type_default,59.172877038065465,high,1,1.0,pre-1980,46.9763298034668,era1,midrise,ghs_age,1046
87058202,yes,residential,2725.2289136441877,3,8175.686740932563,9.0,building_type_default,51.969925890731325,high,1,1.0,pre-1980,28.9891357421875,era1,midrise,ghs_age,1250
103279575,yes,residential,7655.638516944695,3,22966.915550834085,9.0,building_type_default,57.90579735738316,high,1,1.0,pre-1980,21.369775772094727,era1,midrise,ghs_age,882
103279625,retail,commercial,1683.56888131081,5,8417.84440655405,14.0,building_levels,57.423548605001415,high,1,3.0,1990-1999,24.71627426147461,era1,midrise,ghs_age,1115
103279694,yes,residential,799.5977246548215,3,2398.7931739644646,9.0,building_type_default,44.92659876302238,medium,0,3.0,1990-1999,24.834583282470703,era1,midrise,ghs_age,1115
103279719,yes,residential,1129.7354640677609,3,3389.2063922032826,9.0,building_type_default,46.9112411098787,high,1,3.0,1990-1999,25.00002670288086,era1,midrise,ghs_age,1115
103279789,yes,residential,15492.813826244874,3,46478.44147873462,9.0,building_type_default,61.95749869582441,high,1,3.0,1990-1999,17.58868980407715,era1,midrise,ghs_age,1355
103279888,yes,residential,1013.4250231496399,3,3040.2750694489196,9.0,building_type_default,46.28729828547087,high,1,3.0,1990-1999,24.257652282714844,era1,midrise,ghs_age,1115
103279914,university,commercial,3570.110322275409,4,14280.441289101636,10.5,building_type_default,60.01154929286545,high,1,2.0,1980-1989,22.19219398498535,era1,midrise,ghs_age,1156
103279941,university,commercial,4332.176378929128,4,17328.705515716512,10.5,building_type_default,61.234568985537706,high,1,1.0,pre-1980,21.225954055786133,era1,midrise,ghs_age,1156
155469202,apartments,residential,1116.7055167076514,3,3350.1165501229543,9.0,building_type_default,46.844617863768775,high,1,1.0,pre-1980,13.805871963500977,era1,midrise,ghs_age,710
166794418,yes,residential,2764.02477279831,3,8292.07431839493,9.0,building_type_default,52.05114923194121,high,1,1.0,pre-1980,23.601993560791016,era1,midrise,ghs_age,1301
185870065,yes,residential,2674.17945005433,3,8022.53835016299,9.0,building_type_default,51.86126910330188,high,1,4.0,2000-2009,10.063553810119629,era2,midrise,ghs_age,1109
185870068,yes,residential,4888.245815746443,3,14664.737447239331,9.0,building_type_default,55.32754104036459,high,1,4.0,2000-2009,10.063553810119629,era2,midrise,ghs_age,1109
185870084,yes,residential,839.0300789656281,3,2517.0902368968846,9.0,building_type_default,45.20296567567391,medium,0,4.0,2000-2009,10.063553810119629,era2,midrise,ghs_age,1109
185870093,yes,residential,712.5259581635326,3,2137.5778744905974,9.0,building_type_default,44.26475545228658,medium,0,4.0,2000-2009,11.49905776977539,era2,midrise,ghs_age,1109
185873477,yes,residential,960.6300056033892,3,2881.8900168101677,9.0,building_type_default,45.9800729477599,high,1,5.0,2010-2020,14.907773971557617,era3,midrise,ghs_age,1109
185873497,yes,residential,2715.0051501278786,3,8145.015450383636,9.0,building_type_default,51.94832886983749,high,1,4.0,2000-2009,13.591316223144531,era2,midrise,ghs_age,1109
185873500,yes,residential,2639.2966958396705,3,7917.890087519012,9.0,building_type_default,51.78582338677526,high,1,5.0,2010-2020,14.907773971557617,era3,midrise,ghs_age,1109
185873503,yes,residential,2706.8346211641096,3,8120.503863492329,9.0,building_type_default,51.93101064356824,high,1,4.0,2000-2009,13.591316223144531,era2,midrise,ghs_age,1109
186039486,yes,residential,1456.9373374399288,3,4370.812012319786,9.0,building_type_default,48.372164227850014,high,1,4.0,2000-2009,11.775582313537598,era2,midrise,ghs_age,1069
