scenario,retrofit_status,gross_demand_GWh,pv_offset_GWh,net_demand_GWh,net_demand_chg_vs_cur_base_pct
Current,baseline,15381.6,1603.0,13778.6,0.0
2050_SSP245,baseline,14946.5,1603.0,13343.5,-3.16
2050_SSP585,baseline,14867.4,1603.0,13264.4,-3.73
2080_SSP245,baseline,14831.5,1603.0,13228.5,-3.99
2080_SSP585,baseline,14700.9,1603.0,13097.9,-4.94
Current,R5,9747.8,1603.0,8144.8,-40.89
2050_SSP245,R5,9937.5,1603.0,8334.5,-39.51
2050_SSP585,R5,9991.7,1603.0,8388.7,-39.12
2080_SSP245,R5,10013.3,1603.0,8410.3,-38.96
2080_SSP585,R5,10270.9,1603.0,8667.9,-37.09
