month,month_name,pv_gen_GWh,baseline_heat_GWh,baseline_cool_GWh,baseline_other_GWh,baseline_total_GWh,r5_heat_GWh,r5_cool_GWh,r5_other_GWh,r5_total_GWh,baseline_self_consumption,baseline_coverage,r5_self_consumption,r5_coverage,baseline_net_demand_GWh,r5_net_demand_GWh,baseline_cool_coverage,r5_cool_coverage
1,Jan,113.925,1360.62,0.0,748.206,2108.826,48.15,0.0,748.206,796.356,1.0,0.054,1.0,0.1431,1994.901,682.431,0.0,0.0
2,Feb,100.649,907.08,0.0,665.072,1572.152,32.1,0.0,665.072,697.172,1.0,0.064,1.0,0.1444,1471.503,596.523,0.0,0.0
3,Mar,120.066,453.54,0.0,665.072,1118.612,16.05,0.0,665.072,681.122,1.0,0.1073,1.0,0.1763,998.546,561.056,0.0,0.0
4,Apr,128.91,90.708,50.644,665.072,806.424,3.21,33.882,665.072,702.164,1.0,0.1599,1.0,0.1836,677.514,573.254,1.0,1.0
5,May,146.774,0.0,126.61,665.072,791.682,0.0,84.705,665.072,749.777,1.0,0.1854,1.0,0.1958,644.908,603.003,1.0,1.0
6,Jun,131.345,0.0,379.83,665.072,1044.902,0.0,254.115,665.072,919.187,1.0,0.1257,1.0,0.1429,913.557,787.842,0.3458,0.5169
7,Jul,177.577,0.0,759.66,706.639,1466.299,0.0,508.23,706.639,1214.869,1.0,0.1211,1.0,0.1462,1288.722,1037.292,0.2338,0.3494
8,Aug,155.595,0.0,759.66,706.639,1466.299,0.0,508.23,706.639,1214.869,1.0,0.1061,1.0,0.1281,1310.704,1059.274,0.2048,0.3062
9,Sep,148.396,0.0,379.83,665.072,1044.902,0.0,254.115,665.072,919.187,1.0,0.142,1.0,0.1614,896.506,770.791,0.3907,0.584
10,Oct,143.796,136.062,75.966,665.072,877.1,4.815,50.823,665.072,720.71,1.0,0.1639,1.0,0.1995,733.304,576.914,1.0,1.0
11,Nov,122.456,453.54,0.0,748.206,1201.746,16.05,0.0,748.206,764.256,1.0,0.1019,1.0,0.1602,1079.29,641.8,0.0,0.0
12,Dec,113.508,1133.85,0.0,748.206,1882.056,40.125,0.0,748.206,788.331,1.0,0.0603,1.0,0.144,1768.548,674.823,0.0,0.0
