id,typology,total_floor_area_m2,annual_pv_kwh,is_high_potential
2892180,lowrise,5174.86,200784.44,1
4196633,lowrise,9558.98,370888.34,1
4222251,lowrise,4115.39,159677.14,1
4767675,lowrise,21381.12,829587.54,1
4767677,lowrise,21381.12,829587.54,1
4767679,lowrise,14424.94,559687.51,1
4767681,lowrise,11570.79,448946.59,1
4767683,lowrise,4225.09,163933.66,1
4767685,lowrise,9806.70,380500.07,1
4767687,lowrise,5169.52,200577.49,1
4768043,lowrise,3972.96,154150.90,1
4768044,lowrise,10520.23,408184.80,1
4768310,lowrise,1704.43,66131.88,1
4768311,lowrise,10360.72,401996.01,1
4770434,lowrise,4928.53,191226.94,1
6036156,lowrise,10954.67,425041.02,1
7082008,lowrise,11181.09,433826.11,1
7096204,lowrise,23323.84,904964.87,1
7100236,lowrise,36660.24,1422417.20,1
7109337,lowrise,14859.24,576538.46,1
7900899,lowrise,6550.67,254166.04,1
9054035,midrise,4128.23,113113.50,1
9080575,lowrise,111469.23,4325006.30,1
9637673,lowrise,9811.95,380703.69,1
11497716,midrise,5804.37,159039.68,1
11502233,midrise,7426.25,203479.37,1
12955761,highrise,888915.14,5422382.33,1
13052205,midrise,6023.65,165048.11,1
13052255,midrise,6120.27,167695.36,1
14336137,lowrise,17098.60,663425.64,1
17631388,lowrise,6504.04,252356.75,1
17880215,lowrise,59560.35,2310941.58,1
18621018,lowrise,6456.13,250497.74,1
18621021,lowrise,32776.45,1271726.13,1
18667622,lowrise,32538.02,1262475.21,1
19848333,lowrise,6938.54,269215.41,1
52072595,highrise,114966.06,701292.99,1
54827271,lowrise,13892.31,539021.51,1
54827275,lowrise,3141.18,121877.86,1
59097016,lowrise,10248.27,397632.92,1
59097032,lowrise,3658.86,141963.92,1
87058059,highrise,12506.05,76286.91,1
87058202,lowrise,8175.69,317216.65,1
103279575,lowrise,22966.92,891116.32,1
103279625,lowrise,8417.84,326612.36,1
103279719,midrise,3389.21,92864.26,1
103279789,lowrise,46478.44,1803363.53,1
103279888,midrise,3040.28,83303.54,1
103279914,lowrise,14280.44,554081.12,1
103279941,lowrise,17328.71,672353.77,1
155469202,lowrise,3350.12,129984.52,1
166794418,lowrise,8292.07,321732.48,1
185870065,lowrise,8022.54,311274.49,1
185870068,lowrise,14664.74,568991.81,1
185873477,lowrise,2881.89,111817.33,1
185873497,lowrise,8145.02,316026.60,1
185873500,lowrise,7917.89,307214.14,1
185873503,lowrise,8120.50,315075.55,1
186039486,lowrise,4370.81,169587.51,1
186039492,lowrise,3231.89,125397.18,1
186039494,lowrise,37291.45,1446908.19,1
186039504,lowrise,4351.57,168841.02,1
186039509,lowrise,3847.63,149288.06,1
186039512,lowrise,3918.52,152038.48,1
186039513,lowrise,3449.76,133850.81,1
186039519,lowrise,3523.78,136722.60,1
186039526,lowrise,3941.41,152926.54,1
186039534,lowrise,3999.00,155161.02,1
186178539,lowrise,31560.32,1224540.34,1
186395622,lowrise,29091.46,1128748.65,1
186395663,lowrise,41297.58,1602346.26,1
218409921,lowrise,4579.53,177685.73,1
