id,era,typology,total_floor_area_m2,is_high_potential,grid_id,baseline_energy_kwh,R1_savings_kwh,R2_savings_kwh,R3_savings_kwh,R4_savings_kwh,R5_savings_kwh,R5_heating_savings_kwh,R5_cooling_savings_kwh
2892180,era2,lowrise,5174.86,1,796,1094119.98,53663.30,24632.33,32963.86,291965.60,378230.52,300090.13,56871.71
4196633,era1,lowrise,9558.98,1,837,2496900.61,176745.54,97023.65,104001.70,855911.07,1174511.87,923779.83,184392.72
4222251,era1,lowrise,4115.39,1,794,1074981.06,76093.56,41771.21,44775.44,368492.02,505657.97,397711.29,79385.87
4767675,era1,lowrise,21381.12,1,796,5584962.90,395336.91,217018.37,232626.59,1914465.48,2627098.21,2066271.44,412441.80
4767677,era1,lowrise,21381.12,1,796,5584962.90,395336.91,217018.37,232626.59,1914465.48,2627098.21,2066271.44,412441.80
4767679,era1,lowrise,14424.94,1,796,3767937.49,266717.14,146413.14,156943.35,1291609.13,1772392.38,1394026.20,278257.09
4767681,era2,lowrise,11570.79,1,796,2446411.79,119989.09,55076.96,73705.93,652823.97,845709.04,670990.11,127162.98
4767683,era2,lowrise,4225.09,1,797,893311.70,43814.18,20111.43,26913.82,238379.58,308811.83,245012.97,46433.74
4767685,era1,lowrise,9806.70,1,838,2561608.83,181325.88,99538.00,106696.90,878091.92,1204949.23,947719.49,189171.24
4767687,era1,lowrise,5169.52,1,837,1350331.11,95584.42,52470.63,56244.38,462878.82,635178.92,499582.41,99720.04
4768043,era2,lowrise,3972.96,1,837,840003.20,41199.60,18911.29,25307.76,224154.40,290383.65,230391.95,43662.83
4768044,era1,lowrise,10520.23,1,837,2747988.46,194519.05,106780.33,114460.10,941981.39,1292620.66,1016675.03,202935.24
4768310,era1,lowrise,1704.43,1,796,445214.16,31514.91,17299.96,18544.20,152614.66,209423.31,164716.12,32878.45
4768311,era2,lowrise,10360.72,1,796,2190567.44,107440.67,49317.03,65997.79,584551.82,757265.02,600818.15,113864.31
4770434,era2,lowrise,4928.53,1,797,1042038.98,51108.86,23459.80,31394.74,278067.66,360226.26,285805.45,54164.54
6036156,era2,lowrise,10954.67,1,630,2316144.90,113599.93,52144.23,69781.25,618062.48,800676.83,635261.31,120391.82
7082008,era1,lowrise,11181.09,1,1126,2920611.30,206738.35,113488.06,121650.26,1001154.80,1373820.53,1080540.54,215683.23
7096204,era1,lowrise,23323.84,1,1085,6092419.45,431257.80,236736.98,253763.38,2088416.63,2865800.22,2254015.90,449916.87
7100236,era2,lowrise,36660.24,1,1496,7751073.92,380166.69,174502.74,233525.73,2068370.74,2679496.94,2125927.32,402896.04
7109337,era3,lowrise,14859.24,1,1169,2234978.08,41903.06,48589.71,7281.03,320216.62,349192.14,220956.90,28826.93
7885182,era1,lowrise,2550.56,0,1083,666231.50,47159.85,25888.18,27750.09,228377.14,313387.31,246486.12,49200.30
7900899,era1,lowrise,6550.67,1,1332,1711100.83,121121.89,66489.30,71271.29,586546.99,804880.82,633056.75,126362.42
9054035,era2,midrise,4128.23,1,1245,872831.64,42809.75,19650.37,26296.83,232914.74,301732.33,239396.06,45369.25
9080575,era1,lowrise,111469.23,1,1124,29116878.76,2061066.06,1131412.68,1212785.22,9980954.85,13696224.29,10772386.39,2150241.45
9637673,era1,lowrise,9811.95,1,1083,2562979.69,181422.96,99591.29,106754.02,878562.00,1205594.30,948226.85,189272.52
10452558,era2,lowrise,2623.34,0,557,554653.33,27204.04,12487.10,16710.68,148008.84,191739.92,152127.49,28830.51
11497715,era2,lowrise,247.01,0,750,52225.31,2561.49,1175.77,1573.45,13936.30,18053.96,14324.11,2714.64
11497716,era3,midrise,5804.37,1,750,873034.98,16368.32,18980.29,2844.14,125084.17,136402.70,86310.98,11260.48
11502229,era3,midrise,1573.19,0,1615,236623.45,4436.40,5144.33,770.86,33902.24,36969.97,23393.34,3051.99
11502231,era3,midrise,866.28,0,1615,130297.04,2442.91,2832.74,424.48,18668.33,20357.58,12881.58,1680.58
11502233,era3,midrise,7426.25,1,1574,1116982.91,20942.02,24283.84,3638.86,160035.69,174516.88,110428.34,14406.92
12955761,era2,highrise,888915.14,1,1132,187943327.17,9218050.00,4231236.07,5662389.44,50152592.20,64970807.58,51548188.97,9769177.39
13052205,era2,midrise,6023.65,1,710,1273581.11,62465.25,28672.57,38370.65,339854.33,440268.58,349311.46,66199.91
13052255,era3,midrise,6120.27,1,750,920549.63,17259.16,20013.28,2998.93,131891.82,143826.35,91008.41,11873.32
14336137,era2,lowrise,17098.60,1,1519,3615156.80,177312.48,81389.34,108918.08,964703.01,1249736.67,991547.81,187913.61
16768783,era2,lowrise,1659.08,0,851,350780.32,17204.66,7897.22,10568.34,93605.29,121262.16,96210.05,18233.29
17166089,era2,lowrise,2477.60,0,1256,523838.56,25692.71,11793.38,15782.31,139786.19,181087.78,143676.02,27228.82
17631388,era2,lowrise,6504.04,1,1449,1375149.17,67446.89,30959.23,41430.73,366957.94,475380.28,377169.28,71479.40
17880215,era3,lowrise,59560.35,1,709,8958472.24,167960.19,194762.34,29184.57,1283525.54,1399668.22,885662.40,115547.08
18621018,era2,lowrise,6456.13,1,840,1365019.01,66950.07,30731.18,41125.55,364254.85,471878.54,374390.98,70952.87
18621021,era1,lowrise,32776.45,1,839,8561535.64,606036.56,332680.97,356607.78,2934803.33,4027242.41,3167516.13,632257.72
18667622,era1,lowrise,32538.02,1,1001,8499256.44,601627.99,330260.90,354013.66,2913454.31,3997946.52,3144474.25,627658.41
19848333,era2,lowrise,6938.54,1,1198,1467015.81,71952.66,33027.45,44198.50,391472.43,507137.89,402365.93,76254.55
19960210,era2,lowrise,2199.51,0,1157,465041.66,22808.92,10469.67,14010.88,124096.35,160762.19,127549.58,24172.61
52072595,era1,highrise,114966.06,1,1046,30030285.57,2125722.45,1166905.51,1250830.73,10294061.01,14125879.79,11110320.04,2217695.30
54827271,era2,lowrise,13892.31,1,797,2937250.48,144063.25,66127.40,88494.01,783804.13,1015388.94,805615.06,152676.49
54827275,era1,lowrise,3141.18,1,797,820508.16,58080.42,31882.98,34176.04,281261.26,385956.79,303563.64,60593.36
59097016,era2,lowrise,10248.27,1,475,2166791.99,106274.56,48781.77,65281.48,578207.39,749046.05,594297.18,112628.49
59097032,era2,lowrise,3658.86,1,516,773593.62,37942.38,17416.17,23306.94,206432.88,267426.08,212177.29,40210.87
59097041,era2,lowrise,182.85,0,516,38659.06,1896.15,870.37,1164.75,10316.40,13364.51,10603.47,2009.52
87058059,era1,highrise,12506.05,1,1046,3266705.43,231236.86,126936.41,136065.82,1119791.72,1536618.36,1208584.67,241241.70
87058202,era1,lowrise,8175.69,1,1250,2135571.13,151168.51,82983.25,88951.51,732051.28,1004547.03,790098.68,157709.06
103279575,era1,lowrise,22966.92,1,882,5999188.01,424658.35,233114.24,249880.09,2056458.02,2821945.46,2219523.15,443031.89
103279625,era2,lowrise,8417.84,1,1115,1779784.84,87293.00,40068.92,53621.64,474934.53,615259.93,488150.54,92512.06
103279694,era3,midrise,2398.79,0,1115,360802.48,6764.59,7844.04,1175.41,51693.92,56371.57,35670.01,4653.65
103279719,era3,midrise,3389.21,1,1115,509770.53,9557.57,11082.72,1660.71,73037.48,79646.43,50397.55,6575.07
103279789,era3,lowrise,46478.44,1,1355,6990822.38,131069.20,151984.50,22774.44,1001610.38,1092243.34,691134.40,90168.17
103279888,era3,midrise,3040.28,1,1115,457287.77,8573.59,9941.72,1489.74,65518.03,71446.58,45208.96,5898.14
103279914,era2,lowrise,14280.44,1,1156,3019313.70,148088.16,67974.89,90966.40,805702.42,1043757.36,828122.72,156942.04
103279941,era1,lowrise,17328.71,1,1156,4526431.17,320407.85,175886.41,188536.36,1551612.69,2129178.60,1674646.53,334270.82
155469202,era2,lowrise,3350.12,1,710,708315.14,34740.74,15946.57,21340.26,189013.77,244860.27,194273.46,36817.82
166794418,era1,lowrise,8292.07,1,1301,2165972.73,153320.37,84164.51,90217.72,742471.95,1018846.64,801345.64,159954.03
185870065,era3,lowrise,8022.54,1,1109,1206669.99,22623.56,26233.71,3931.04,172885.74,188529.69,119295.17,15563.73
185870068,era3,lowrise,14664.74,1,1109,2205723.16,41354.57,47953.70,7185.72,316025.15,344621.39,218064.68,28449.60
185870084,era3,lowrise,2517.09,0,1109,378595.54,7098.19,8230.88,1233.37,54243.29,59151.62,37429.13,4883.15
185870093,era3,lowrise,2137.58,0,1109,321513.09,6027.98,6989.89,1047.41,46064.85,50233.13,31785.81,4146.91
185873477,era3,lowrise,2881.89,1,1109,433465.08,8126.93,9423.78,1412.13,62104.73,67724.41,42853.70,5590.87
185873497,era2,lowrise,8145.02,1,1109,1722100.62,84463.86,38770.30,51883.78,459542.03,595319.51,472329.71,89513.77
185873500,era3,lowrise,7917.89,1,1109,1190929.85,22328.45,25891.50,3879.77,170630.53,186070.42,117739.02,15360.71
185873503,era2,lowrise,8120.50,1,1109,1716918.13,84209.59,38653.58,51727.59,458158.61,593527.34,470907.80,89244.29
186039486,era2,lowrise,4370.81,1,1069,924120.78,45325.30,20805.06,27842.06,246601.10,319462.50,253463.27,48035.20
186039492,era3,lowrise,3231.89,1,1110,486107.99,9113.93,10568.28,1583.63,69647.23,75949.41,48058.20,6269.87
186039494,era3,lowrise,37291.45,1,1110,5609006.74,105161.89,121943.04,18272.81,803630.75,876349.07,554523.86,72345.41
186039504,era3,lowrise,4351.57,1,1110,654520.04,12271.43,14229.63,2132.27,93776.33,102261.89,64707.85,8442.05
186039509,era3,lowrise,3847.63,1,1069,578722.08,10850.32,12581.75,1885.34,82916.43,90419.31,57214.26,7464.40
186039512,era3,lowrise,3918.52,1,1110,589384.21,11050.23,12813.56,1920.07,84444.11,92085.22,58268.39,7601.93
186039513,era3,lowrise,3449.76,1,1110,518878.86,9728.32,11280.72,1690.38,74342.33,81069.36,51297.93,6692.53
186039519,era3,lowrise,3523.78,1,1110,530011.48,9937.06,11522.76,1726.65,75937.46,82808.83,52398.61,6836.13
186039526,era2,lowrise,3941.41,1,1110,833331.41,40872.42,18761.11,25106.78,222374.35,288077.66,228562.37,43316.10
186039534,era3,lowrise,3999.00,1,1069,601488.88,11277.18,13076.73,1959.51,86178.45,93976.50,59465.13,7758.06
186178539,era2,lowrise,31560.32,1,1329,6672798.03,327280.52,150227.12,201039.24,1780633.25,2306743.79,1830182.96,346847.92
